Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLControlledProvider.ApplyConnectionOptions,93,0,2,0,1,0,125
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLRaisingDriverProvider.Create,99,3,1,0,1,0,121
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLErrorIntegrationTests.DriverContext_Exception_UsesSharedNormalization,146,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Normalizer.pas,TRickSQLErrorNormalizerTests.SensitiveKeys_AreMaskedInMessageAndTechnicalDetail,138,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Normalizer.pas,TRickSQLErrorNormalizerTests.CoreParser_FromMessage_PreservesLegacyContract,178,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Commit_FalhaAoConsultarEstado_NaoDeveRetornarSucesso,315,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Commit_FalhaNaInspecaoAposCommit_DeveReportarErro,329,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Rollback_FalhaAoConsultarEstado_NaoDeveRetornarSucesso,374,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Rollback_FalhaNaInspecaoAposRollback_DeveReportarErro,388,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.Canonical_CompatibleDriverLink_AssignsVendorLib,147,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.Canonical_SetterFailure_ReportsFailure,201,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.Configure_NotRequired_DoesNotRequireVendorLib,240,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.DriverContext_ResolvedPath_AssignsVendorLib,281,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.DriverContext_EmptyPath_PreservesExistingVendorLib,329,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.DriverContext_MissingVendorLib_PreservesDriverError,391,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLDriverProviderReuseTests.DriverContextFactory_Compatibility_CreatesSQLiteContext,186,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.EstadoInicial_DeveExporResultadoNeutro,156,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.Error_DeveSerReiniciadoAntesDaProximaOperacao,254,6,0,0,1,0,117
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Validation\Rick.SQL.Tests.Parameter.Validator.pas,TRickSQLParameterValidatorTests.TodosEngines_ParametroSimples_DeveSerReconhecido,145,2,0,0,2,0,108
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Validation\Rick.SQL.Tests.Parameter.Validator.pas,TRickSQLParameterValidatorTests.TodosEngines_ParametroAposKeyword_DeveSerReconhecido,153,2,0,0,2,0,108
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.CheckInspectionError,185,2,1,0,1,0,108
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,FirebirdOptions,136,2,1,0,1,0,108
