Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,TRickSQLServiceFireDACParameterBinder.Bind,80,7,2,1,4,0,388
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.AddParameter,115,7,2,1,4,0,388
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryTrackStructure,820,10,1,1,4,0,383
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Context.pas,VendorLibraryError,122,10,1,1,4,0,383
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ValidateArchitecture,779,9,2,1,3,0,371
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.CopyCurrentRecord,272,9,2,1,3,0,371
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,ValidateSize,1106,9,2,1,3,0,371
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,ValidateNullConsistency,1144,9,2,1,3,0,371
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterValidator.ValidateRequiredParameters,1210,9,2,1,3,0,371
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.StartTransaction,234,9,2,1,3,0,371
C:\Projects\Language\Delphi\Middleware\RickSQL\src\error\Rick.SQL.Error.Normalizer.pas,TRickSQLErrorNormalizer.TechnicalDetail,164,9,1,1,4,0,371
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.ValidateConnection,199,5,3,1,3,0,362
